entity_time_id,market_id,seller_id,seller_name,timestamp,market_order,temporal_holdout_flag,product_name,rank_pos,rank_pct,fba_from_shipper,log1p_num_valutazioni,valutazioni_positive,stelle,prezzo_totale_reconstructed,contact_courier_flag,g_cons_min_robust,g_cons_max_robust,delivery_window_robust,fast_delivery_available,fast_delivery_cost_imputed,prezzo_totale_fast_delivery_imputed,prezzo,prezzo_spedizione_repaired,review_problem_flag,explicit_shipping_repair_flag,delivery_repaired_flag,market_delivery_failure_flag
2022-02-07T12:05:05__sky_line_e_comm,2022-02-07T12:05:05,sky_line_e_comm,SKY LINE E-COMM,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,1,0.0,True,2.8903717578961645,94,4.5,38.5,False,8.0,8.0,0.0,0,0.0,38.5,38.5,0.0,False,False,False,False
2022-02-07T12:05:05__zaariogmbh,2022-02-07T12:05:05,zaariogmbh,ZaarioGmbH,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,2,0.012987012987012988,True,3.6109179126442243,97,5.0,38.93,False,7.0,10.0,3.0,1,4.99,43.92,38.93,0.0,False,False,False,False
2022-02-07T12:05:05__bacom,2022-02-07T12:05:05,bacom,Bacom,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,3,0.025974025974025976,False,9.569901147893372,96,4.5,39.9,False,8.0,11.0,3.0,1,0.0,39.9,39.9,0.0,False,False,False,False
2022-02-07T12:05:05__goprice,2022-02-07T12:05:05,goprice,GoPrice,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,4,0.03896103896103896,False,8.82379514872053,75,4.0,39.99,False,4.0,9.0,5.0,0,0.0,39.99,39.99,0.0,False,False,False,False
2022-02-07T12:05:05__dear_mi,2022-02-07T12:05:05,dear_mi,Dear Mi,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,5,0.05194805194805195,True,5.849324779946859,95,4.5,40.0,False,4.0,4.0,0.0,0,0.0,40.0,40.0,0.0,False,False,False,False
2022-02-07T12:05:05__albaeleshop,2022-02-07T12:05:05,albaeleshop,Albaeleshop,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,6,0.06493506493506493,False,5.521460917862246,95,4.5,40.7,False,8.0,11.0,3.0,0,0.0,40.7,40.7,0.0,False,False,False,False
2022-02-07T12:05:05__fortune_trade,2022-02-07T12:05:05,fortune_trade,FORTUNE TRADE,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,7,0.07792207792207792,True,5.1647859739235145,89,4.5,42.0,False,8.0,8.0,0.0,0,0.0,42.0,42.0,0.0,False,False,False,False
2022-02-07T12:05:05__excellent_mi_store,2022-02-07T12:05:05,excellent_mi_store,Excellent Mi Store,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,8,0.09090909090909091,True,6.4692503167957724,93,4.5,42.0,False,3.0,3.0,0.0,0,0.0,42.0,42.0,0.0,False,False,False,False
2022-02-07T12:05:05__niumi_technology,2022-02-07T12:05:05,niumi_technology,Niumi Technology,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,9,0.1038961038961039,True,6.821107472256465,89,4.5,42.0,False,8.0,8.0,0.0,0,0.0,42.0,42.0,0.0,False,False,False,False
2022-02-07T12:05:05__gioiapura,2022-02-07T12:05:05,gioiapura,GIOIAPURA,2022-02-07 12:05:05,1,0,Xiaomi Mi Smart Band 6,10,0.11688311688311688,False,8.869960510523953,89,4.5,43.64,False,3.0,7.0,4.0,0,0.0,43.64,43.64,0.0,False,False,False,False
